id_orden,fecha,hora,producto,cantidad,precio_unitario,descuento,envio_costo,impuestos,total_cobrado,estado,canal
FB-ORD-0001,2025-10-04,09:41,Polera Oversize,3,12990,0,4490,0,43460,PENDING,Facebook
FB-ORD-0002,2025-10-06,14:32,Polera Oversize,3,19990,0,5990,0,65960,COMPLETED,Facebook
FB-ORD-0003,2025-10-02,20:45,Polera Oversize,2,15990,0,4490,0,36470,COMPLETED,Facebook
FB-ORD-0004,2025-10-02,12:47,Audífonos BT,1,5990,1000,3990,0,8980,CANCELED,Facebook
FB-ORD-0005,2025-10-02,17:09,Audífonos BT,3,12990,0,4490,0,43460,PENDING,Facebook
FB-ORD-0006,2025-10-10,17:32,Collar Luna,2,34990,0,0,0,69980,CANCELED,Facebook
FB-ORD-0007,2025-10-10,11:30,Collar Luna,1,34990,1000,5990,0,39980,CANCELED,Facebook
FB-ORD-0008,2025-10-08,21:58,Collar Luna,2,7990,0,5990,0,21970,COMPLETED,Facebook
FB-ORD-0009,2025-10-09,15:16,Taza Cerámica,1,15990,2000,4490,0,18480,COMPLETED,Facebook
FB-ORD-0010,2025-10-08,15:26,Aros Minimal,2,15990,0,4490,0,36470,COMPLETED,Facebook
FB-ORD-0011,2025-10-02,13:55,Aros Minimal,3,5990,1000,3990,0,20960,COMPLETED,Facebook
FB-ORD-0012,2025-10-04,16:54,Velas Aromáticas,1,19990,2000,5990,0,23980,CANCELED,Facebook
FB-ORD-0013,2025-10-06,17:14,Velas Aromáticas,3,24990,0,5990,0,80960,CANCELED,Facebook
FB-ORD-0014,2025-10-04,15:02,Velas Aromáticas,2,12990,0,5990,0,31970,CANCELED,Facebook
FB-ORD-0015,2025-10-01,12:07,Cojín Decor,3,5990,0,4490,0,22460,PENDING,Facebook
FB-ORD-0016,2025-10-11,10:46,Cojín Decor,2,24990,0,5990,0,55970,PENDING,Facebook
FB-ORD-0017,2025-10-06,20:52,Cojín Decor,1,5990,0,0,0,5990,CANCELED,Facebook
FB-ORD-0018,2025-10-10,18:57,Powerbank 10k,2,9990,2000,0,0,17980,COMPLETED,Facebook
FB-ORD-0019,2025-10-10,13:00,Powerbank 10k,3,5990,0,3990,0,21960,CANCELED,Facebook
FB-ORD-0020,2025-10-09,18:00,Blazer Casual,1,7990,0,3990,0,11980,COMPLETED,Facebook
FB-ORD-0021,2025-10-03,12:08,Mini Trípode,1,9990,0,5990,0,15980,CANCELED,Facebook
FB-ORD-0022,2025-10-05,21:02,Mini Trípode,3,19990,1000,0,0,58970,COMPLETED,Facebook
